UniqueSite,Site_Lat,Site_Long,ReefCluster,Larger,Biomass_above20cm,Protection,DepthCategory,CleanHabitat,CensusMethod,Total_sampling_area,Regional_population_growth,Ocean_prod,Climate_stress,HDI,Larger_pop_size,Reef_fish_landings_per_km2,MPAage3,NTZarea,Geographic_Basin,Biomass...some.families,Local,Atoll,Gini_lastdata,EPI_2018,GDP,Control_corruption,Rule_of_law,Sedimentation,Annual_tourist_number,Locality,gravtot5001,gravtot5002,gravtot5003,Trait_diversity,Scraping_potential,MPAage
4,1.50178861,125.261555,RC_22,Indonesia,373.5678543,Fished,4-10m,Slope,Standard belt transect,750,8.642912599,0.193,0.847411679,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,619.6261399,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.298597913,3788,Indonesia,17331.37874,127.6697217,2.295204568,2.688359132,115.1378998,0
5,1.50062202,125.2428852,RC_22,Indonesia,315.9670177,Fished,4-10m,Slope,Standard belt transect,750,8.642912599,0.193,0.847411679,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,394.0562035,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.298597913,3788,Indonesia,14817.13151,76.74921997,0.552297012,3.054260847,11.03997924,0
6,1.58525,118.58724,RC_32,Indonesia,525.1346936,Restricted,0-4m,Crest,Standard belt transect,750,21.21651653,0.349,0.789031352,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,737.2900127,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.548213443,3788,NA,8489.429202,8.758424859,0.011128168,3.403984496,864.6978691,0
7,-8.36794,116.09782,RC_1,Indonesia,4.832757771,Fished,0-4m,Crest,Standard belt transect,750,11.40116227,0.284,0.827484357,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,20.37535355,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.32136823,3788,Indonesia,122299.9904,1049.194849,114.3893563,2.59087546,12.49623421,0
9,1.50539727,125.2490909,RC_22,Indonesia,119.4089865,Fished,4-10m,Slope,Standard belt transect,750,8.642912599,0.193,0.847411679,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,182.0988615,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.298597913,3788,Indonesia,17490.59459,133.2624531,2.766300422,3.458911503,54.74286513,0
10,1.51916346,125.2406949,RC_22,Indonesia,5.107124953,Fished,4-10m,Slope,Standard belt transect,750,8.642912599,0.193,0.847411679,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,326.149081,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.298597913,3788,Indonesia,16667.97693,109.046147,1.222181677,1.699384722,53.78552228,0
11,1.56119845,125.1834543,RC_43,Indonesia,0,Fished,4-10m,Slope,Standard belt transect,750,8.642929821,0.192,0.849443757,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,52.689139,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.294121172,3788,Indonesia,13080.33609,59.07785815,4.699876566,1.74584397,129.3119943,0
12,1.50824184,125.2682436,RC_54,Indonesia,48.17845093,Fished,4-10m,Slope,Standard belt transect,750,8.642843957,0.193,0.847338777,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,81.14734584,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.300043977,3788,Indonesia,16846.35446,117.5187366,4.912341265,1.891505919,28.86022458,0
13,1.51395494,125.2714011,RC_54,Indonesia,55.51812532,Fished,4-10m,Slope,Standard belt transect,750,8.642843957,0.193,0.847338777,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,116.1771285,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.300043977,3788,Indonesia,16846.35446,117.5187366,4.912341265,2.137512147,9.796245692,0
21,-5.805025,110.491861,RC_65,Indonesia,0,Restricted,0-4m,Slope,Standard belt transect,750,5.009822719,0.324,0.826358791,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,20.1464194,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.408657948,3788,Indonesia,193450.9119,313.667139,0.725874303,2.222804702,62.748125,0
