Family,Genus,Species,FullSpecies,Present_name,Code_FB,TL_species,TL_genus,TL_family,TL_GOOD,TL_GOOD_level,Size_FishBase,Coeff_a,Coeff_b
Acanthuridae,Acanthurus,achilles,Acanthurus achilles,Acanthurus achilles,4306,2,2.314827586,2.298166667,2,species,24,0.002453226,3
Acanthuridae,Acanthurus,albipectoralis,Acanthurus albipectoralis,Acanthurus albipectoralis,13770,3.4,2.314827586,2.298166667,3.4,species,33,0.022241884,3.007953028
Acanthuridae,Acanthurus,auranticavus,Acanthurus auranticavus,Acanthurus auranticavus,4748,-999,2.314827586,2.298166667,2.314827586,genus,45,0.022241884,3.007953028
Acanthuridae,Acanthurus,bahianus,Acanthurus bahianus,Acanthurus bahianus,942,2,2.314827586,2.298166667,2,species,38.09999847,0.0191,3.08
Acanthuridae,Acanthurus,bariene,Acanthurus bariene,Acanthurus bariene,4307,2,2.314827586,2.298166667,2,species,50,0.022241884,3.007953028
Acanthuridae,Acanthurus,blochii,Acanthurus blochii,Acanthurus blochii,4750,2,2.314827586,2.298166667,2,species,45,0.025055962,3.031929247
Acanthuridae,Acanthurus,chirurgus,Acanthurus chirurgus,Acanthurus chirurgus,943,2,2.314827586,2.298166667,2,species,39,0.0225,3
Acanthuridae,Acanthurus,coeruleus,Acanthurus coeruleus,Acanthurus coeruleus,944,2,2.314827586,2.298166667,2,species,39,0.0286,3
Acanthuridae,Acanthurus,dussumieri,Acanthurus dussumieri,Acanthurus dussumieri,1256,2,2.314827586,2.298166667,2,species,54,0.042561181,2.868263525
Acanthuridae,Acanthurus,fowleri,Acanthurus fowleri,Acanthurus fowleri,4745,-999,2.314827586,2.298166667,2.314827586,genus,45,0.022241884,3.007953028
Acanthuridae,Acanthurus,gahhm,Acanthurus gahhm,Acanthurus gahhm,17471,2.76,2.314827586,2.298166667,2.76,species,40,0.016784756,3.167724687
Acanthuridae,Acanthurus,grammoptilus,Acanthurus grammoptilus,Acanthurus grammoptilus,4749,-999,2.314827586,2.298166667,2.314827586,genus,35,0.022241884,3.007953028
Acanthuridae,Acanthurus,guttatus,Acanthurus guttatus,Acanthurus guttatus,4736,2,2.314827586,2.298166667,2,species,26,0.005373761,3
Acanthuridae,Acanthurus,japonicus,Acanthurus japonicus,Acanthurus japonicus,23375,-999,2.314827586,2.298166667,2.314827586,genus,21,0.022241884,3.007953028
Acanthuridae,Acanthurus,leucocheilus,Acanthurus leucocheilus,Acanthurus leucocheilus,4741,-999,2.314827586,2.298166667,2.314827586,genus,45,0.022241884,3.007953028
Acanthuridae,Acanthurus,leucopareius,Acanthurus leucopareius,Acanthurus leucopareius,4737,2,2.314827586,2.298166667,2,species,24,0.0028375,3
Acanthuridae,Acanthurus,leucosternon,Acanthurus leucosternon,Acanthurus leucosternon,1257,2,2.314827586,2.298166667,2,species,54,0.005145501,3
Acanthuridae,Acanthurus,lineatus,Acanthurus lineatus,Acanthurus lineatus,1258,2,2.314827586,2.298166667,2,species,38,0.0251,3.03
Acanthuridae,Acanthurus,maculiceps,Acanthurus maculiceps,Acanthurus maculiceps,4746,2,2.314827586,2.298166667,2,species,40,0.022241884,3.007953028
Acanthuridae,Acanthurus,mata,Acanthurus mata,Acanthurus mata,1255,2.53,2.314827586,2.298166667,2.53,species,50,0.022241884,3.007953028
Acanthuridae,Acanthurus,nigricans,Acanthurus nigricans,Acanthurus nigricans,6011,2,2.314827586,2.298166667,2,species,21.3,0.067,2.669
Acanthuridae,Acanthurus,nigricauda,Acanthurus nigricauda,Acanthurus nigricauda,4747,2.99,2.314827586,2.298166667,2.99,species,40,0.016784756,3.167724687
Acanthuridae,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,Acanthurus nigrofuscus,4739,2,2.314827586,2.298166667,2,species,21,0.026370479,3.028366711
Acanthuridae,Acanthurus,nigroris,Acanthurus nigroris,Acanthurus nigroris,4738,2,2.314827586,2.298166667,2,species,25,0.022241884,3.007953028
Acanthuridae,Acanthurus,nubilus,Acanthurus nubilus,Acanthurus nubilus,4733,3.4,2.314827586,2.298166667,3.4,species,26,0.022241884,3.007953028
Acanthuridae,Acanthurus,olivaceus,Acanthurus olivaceus,Acanthurus olivaceus,4744,2.26,2.314827586,2.298166667,2.26,species,35,0.007,3.398
Acanthuridae,Acanthurus,pyroferus,Acanthurus pyroferus,Acanthurus pyroferus,4742,2,2.314827586,2.298166667,2,species,25,0.001787554,3
Acanthuridae,Acanthurus,sohal,Acanthurus sohal,Acanthurus sohal,4740,2,2.314827586,2.298166667,2,species,40,0.022241884,3.007953028
Acanthuridae,Acanthurus,sp.,Acanthurus sp.,Acanthurus,-999,-999,2.314827586,2.298166667,2.314827586,genus,-999,0.002453226,3
Acanthuridae,Acanthurus,tennentii,Acanthurus tennentii,Acanthurus tennentii,1259,2,2.314827586,2.298166667,2,species,31,0.022241884,3.007953028
Acanthuridae,Acanthurus,thompsoni,Acanthurus thompsoni,Acanthurus thompsoni,4734,3.64,2.314827586,2.298166667,3.64,species,27,0.01533138,3
Acanthuridae,Acanthurus,triostegus,Acanthurus triostegus,Acanthurus triostegus,1260,2.78,2.314827586,2.298166667,2.78,species,27,0.083063451,2.569683389
Acanthuridae,Acanthurus,tristis,Acanthurus tristis,Acanthurus tristis,12782,-999,2.314827586,2.298166667,2.314827586,genus,25,0.022241884,3.007953028
Acanthuridae,Acanthurus,xanthopterus,Acanthurus xanthopterus,Acanthurus xanthopterus,1261,2.87,2.314827586,2.298166667,2.87,species,70,0.026730455,2.984486638
Acanthuridae,Ctenochaetus,binotatus,Ctenochaetus binotatus,Ctenochaetus binotatus,6012,2,2,2.298166667,2,species,22,0.039156835,2.874628814
Acanthuridae,Ctenochaetus,cyanocheilus,Ctenochaetus cyanocheilus,Ctenochaetus cyanocheilus,59486,-999,2,2.298166667,2,genus,16,0.039156835,2.874628814
Acanthuridae,Ctenochaetus,flavicauda,Ctenochaetus flavicauda,Ctenochaetus flavicauda,59589,-999,2,2.298166667,2,genus,11.8,0.039156835,2.874628814
Acanthuridae,Ctenochaetus,hawaiiensis,Ctenochaetus hawaiiensis,Ctenochaetus hawaiiensis,6013,2,2,2.298166667,2,species,25,0.039156835,2.874628814
Acanthuridae,Ctenochaetus,marginatus,Ctenochaetus marginatus,Ctenochaetus marginatus,6014,2,2,2.298166667,2,species,27,0.039156835,2.874628814
Acanthuridae,Ctenochaetus,sp.,Ctenochaetus sp.,Ctenochaetus,-999,-999,2,2.298166667,2,genus,-999,0.039156835,2.874628814
Acanthuridae,Ctenochaetus,striatus,Ctenochaetus striatus,Ctenochaetus striatus,1262,2,2,2.298166667,2,species,26,0.02313218,3.063472078
Acanthuridae,Ctenochaetus,strigosus,Ctenochaetus strigosus,Ctenochaetus strigosus,6015,2,2,2.298166667,2,species,14.6,0.004304414,3
Acanthuridae,Ctenochaetus,tominiensis,Ctenochaetus tominiensis,Ctenochaetus tominiensis,6016,-999,2,2.298166667,2,genus,16,0.039156835,2.874628814
Acanthuridae,Ctenochaetus,truncatus,Ctenochaetus truncatus,Ctenochaetus truncatus,59487,-999,2,2.298166667,2,genus,16,0.039156835,2.874628814
Acanthuridae,Naso,annulatus,Naso annulatus,Naso annulatus,6019,2.12,2.423571429,2.298166667,2.12,species,100,0.051032424,2.715369535
Acanthuridae,Naso,brachycentron,Naso brachycentron,Naso brachycentron,6020,2.67,2.423571429,2.298166667,2.67,species,90,0.051032424,2.715369535
Acanthuridae,Naso,brevirostris,Naso brevirostris,Naso brevirostris,6021,2.22,2.423571429,2.298166667,2.22,species,60,0.010649453,3.242973288
Acanthuridae,Naso,caeruleacauda,Naso caeruleacauda,Naso caeruleacauda,27318,-999,2.423571429,2.298166667,2.423571429,genus,40,0.051032424,2.715369535
Acanthuridae,Naso,caesius,Naso caesius,Naso caesius,15628,-999,2.423571429,2.298166667,2.423571429,genus,45.6,0.051032424,2.715369535
Acanthuridae,Naso,elegans,Naso elegans,Naso elegans,60074,2,2.423571429,2.298166667,2,species,45,0.051032424,2.715369535
Acanthuridae,Naso,hexacanthus,Naso hexacanthus,Naso hexacanthus,1263,3.06,2.423571429,2.298166667,3.06,species,75,0.020165194,2.955825192
Acanthuridae,Naso,lituratus,Naso lituratus,Naso lituratus,1264,2.32,2.423571429,2.298166667,2.32,species,46,0.0497,2.839
Acanthuridae,Naso,lopezi,Naso lopezi,Naso lopezi,6022,2.89,2.423571429,2.298166667,2.89,species,60,0.051032424,2.715369535
