sp,Actinopterygii,Taxonomy,Tree
Acanthoclinus_fuscus,TRUE,,
Acanthoclinus_littoreus,TRUE,,
Acanthopagrus_arabicus,TRUE,,
Acanthopagrus_schlegelii,TRUE,,
Acanthurus_grammoptilus,TRUE,,
Acanthurus_tractus,TRUE,,
Achirus_mazatlanus,TRUE,,
Alepocephalus_rostratus,TRUE,,
Amblygaster_sirm,TRUE,,
Amblygobius_rainfordi,TRUE,,
Amblyraja_radiata,FALSE,,
Amphiprion_tricinctus,TRUE,,
Anguilla_australis,TRUE,,
Aphanius_dispar,TRUE,,
Apogon_compressus,TRUE,Ostorhinchus_compressus,TRUE
Apogon_cyanosoma,TRUE,Ostorhinchus_cyanosoma,TRUE
Apogon_exostigma,TRUE,Pristiapogon_exostigma,TRUE
Apogon_fragilis,TRUE,Zoramia_fragilis,TRUE
Apogon_leptacanthus,TRUE,Zoramia_leptacantha,TRUE
Aristostomias_lunifer,TRUE,,
Asteropteryx_semipunctatus,TRUE,Asterropteryx_semipunctata,TRUE
Auxis_rochei,TRUE,,
Auxis_thazard,TRUE,,
Barbonymus_collingwoodii,TRUE,,
Bathylagoides_wesethi,TRUE,,
Bellator_gymnostethus,TRUE,,
Carcharhinus_amblyrhynchos,FALSE,,
Carcharhinus_falciformis,FALSE,,
Carcharhinus_longimanus,FALSE,,
Carcharhinus_obscurus,FALSE,,
Carcharhinus_plumbeus,FALSE,,
Carcharhinus_signatus,FALSE,,
Carcharodon_carcharias,FALSE,,
Cephalopholis_taeniops,TRUE,,
Cetoscarus_ocellatus,TRUE,,
Chelidonichthys_lastoviza,TRUE,,
Chelon_auratus,TRUE,,
Chelon_dumerili,TRUE,,
Chelon_ramada,TRUE,,
Chelon_richardsonii,TRUE,,
Chirocentrus_nudus,TRUE,,
Chrysiptera_flavipinnis,TRUE,,
Cirrhitichthys_bleekeri,TRUE,,
Clupeonella_engrauliformis,TRUE,,
Clupeonella_grimmi,TRUE,,
Coptodon_zillii,TRUE,,
Coregonus_fera,TRUE,,
Coregonus_widegreni,TRUE,,
Crenimugil_buchanani,TRUE,,
Cyclopteropsis_mcalpini,TRUE,,
Cynoglossus_abbreviatus,TRUE,,
Cyprinodon_variegatus,TRUE,,
Dentex_tumifrons,TRUE,Evynnis_tumifrons,TRUE
Diplodus_capensis,TRUE,,
Diplodus_sargus,TRUE,,
Dipturus_batis,FALSE,,
Enteromius_paludinosus,TRUE,,
Eptatretus_cirrhatus,FALSE,,
Eptatretus_deani,FALSE,,
Eptatretus_hexatrema,FALSE,,
Eptatretus_stoutii,FALSE,,
Equulites_lineolatus,TRUE,,
Esomus_danrica,TRUE,,
Etelis_carbunculus,TRUE,,
Forsterygion_varium,TRUE,,
Fundulus_heteroclitus,TRUE,,
Gadus_chalcogrammus,TRUE,,
Galeocerdo_cuvier,FALSE,,
Galeoides_decadactylus,TRUE,,
Galeorhinus_galeus,FALSE,,
Gobiodon_erythrospilus,TRUE,,
Gobiosoma_robustum,TRUE,,
Gudusia_chapra,TRUE,,
Gymnocanthus_pistilliger,TRUE,,
Gymnocranius_euanus,TRUE,,
Haemulopsis_corvinaeformis,TRUE,,
Helicolenus_lahillei,TRUE,,
Hemibagrus_baramensis,TRUE,,
Hemiscyllium_ocellatum,FALSE,,
Heterodontus_portusjacksoni,FALSE,,
Holapogon_maximus,TRUE,,
Hoplostethus_mediterraneus,TRUE,,
Ichthyomyzon_fossor,FALSE,,
Ilisha_africana,TRUE,,
Isurus_oxyrinchus,FALSE,,
Jaydia_hungi,TRUE,,
Johnius_macrorhynus,TRUE,,
Labeo_capensis,TRUE,,
Lamna_nasus,FALSE,,
Lampetra_fluviatilis,FALSE,,
Larimus_fasciatus,TRUE,,
Leiognathus_brevirostris,TRUE,,
Leucoraja_naevus,FALSE,,
Leucoraja_ocellata,FALSE,,
Leucos_basak,TRUE,Rutilus_basak,TRUE
Leuroglossus_stilbius,TRUE,,
Liza_klunzingeri,TRUE,,
Lycodes_frigidus,TRUE,,
Megaleporinus_obtusidens,TRUE,,
Melamphaes_acanthomus,TRUE,,
Melanostigma_atlanticum,TRUE,,
Merluccius_gayi,TRUE,,
Micrognathus_crinitus,TRUE,,
Mistichthys_luzonensis,TRUE,,
Mustelus_canis,FALSE,,
Mustelus_mustelus,FALSE,,
Mycteroperca_olfax,TRUE,,
Mystus_armatus,TRUE,,
Mystus_gulio,TRUE,,
Myxine_glutinosa,FALSE,,
Nematalosa_vlaminghi,TRUE,,
Nemipterus_hexodon,TRUE,,
Nemipterus_nemurus,TRUE,,
Nemipterus_randalli,TRUE,,
Nemipterus_thosaporni,TRUE,,
Notolabrus_celidotus,TRUE,,
Osteomugil_cunnesius,TRUE,Moolgarda_cunnesius,TRUE
Ostorhinchus_cyanosoma,TRUE,,
Pagellus_affinis,TRUE,,
Paragobiodon_xanthosomus,TRUE,Paragobiodon_xanthosoma,TRUE
Parajulis_poecilepterus,TRUE,,
Paramonacanthus_japonicus,TRUE,,
Parapercis_colias,TRUE,,
Parapercis_cylindrica,TRUE,,
Parascorpaena_aurita,TRUE,,
Parascorpaena_mossambica,TRUE,,
Pempheris_adspersa,TRUE,,
Pentaprion_longimanus,TRUE,,
Periophthalmus_waltoni,TRUE,,
Petrocephalus_bovei,TRUE,,
Petromyzon_marinus,FALSE,,
Pharyngochromis_darlingi,TRUE,,
Plagioscion_squamosissimus,TRUE,,
Planiliza_macrolepis,TRUE,,
Planiliza_subviridis,TRUE,,
Plecoglossus_altivelis,TRUE,,
Polydactylus_quadrifilis,TRUE,,
Pomacentrus_ambionensis,TRUE,Pomacentrus_amboinensis,TRUE
Pomadasys_commersonnii,TRUE,,
Prionace_glauca,FALSE,,
Prionotus_albirostris,TRUE,,
Pristipomoides_flavipinnis,TRUE,,
